model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,tuned_folds,mean_inner_best,best_params_fold0,target,block,chance,degenerate,permuted_score,gap_vs_permuted
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5701515151515152,0.127969951707207,25,False,20,0.4,25,0.6388888888888888,"{'n_components': 2.0, 'keep_x': 191.0}",tox_liver_toxicity,morphology+ecfp,0.5,False,0.4601515151515151,0.1100000000000001
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.6053939393939394,0.1122512186488604,25,False,20,14.6,25,0.6402222222222222,"{'n_components': 1.0, 'keep_x': 15.0}",tox_liver_toxicity,morphology+expression,0.5,False,0.5361818181818182,0.06921212121212117
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5987272727272728,0.1115616092292094,25,False,20,14.8,25,0.6381428571428571,"{'n_components': 1.0, 'keep_x': 15.0}",tox_liver_toxicity,expression,0.5,False,0.5361818181818182,0.06254545454545457
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5165151515151515,0.051547227090824,25,False,20,543.1,25,0.510079365079365,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",tox_liver_toxicity,expression,0.5,False,0.5,0.016515151515151483
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5116666666666666,0.0399999999999999,25,False,20,570.6,25,0.5133333333333333,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",tox_liver_toxicity,morphology+expression,0.5,False,0.4981818181818182,0.013484848484848377
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4629090909090909,0.1426454568307509,25,False,20,0.3,25,0.5457142857142858,"{'n_components': 1.0, 'keep_x': 19.0}",tox_liver_toxicity,morphology,0.5,False,0.4506969696969696,0.012212121212121285
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4792121212121212,0.0594457411700004,25,False,20,6.5,25,0.5204603174603174,"{'C': 0.41359973938398914, 'l1_ratio': 0.5448831829968969}",tox_liver_toxicity,morphology,0.5,False,0.4732727272727273,0.005939393939393911
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4981818181818182,0.0089072354283024,25,False,20,5.3,25,0.5107619047619048,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",tox_liver_toxicity,morphology,0.5,False,0.5127272727272727,-0.014545454545454473
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4961818181818181,0.0129640316145279,25,False,20,7.9,25,0.5127936507936508,"{'max_depth': 3.0, 'n_estimators': 300.0, 'learning_rate': 0.07768811685516967, 'subsample': 0.7724415914984484, 'colsample_bytree': 0.4812893194050143, 'min_child_weight': 4.0, 'reg_alpha': 0.0562793204741517, 'reg_lambda': 6.847663737979948}",tox_liver_toxicity,morphology+ecfp,0.5,False,0.5128787878787878,-0.01669696969696971
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4155151515151515,0.0980508198285673,25,False,20,0.5,25,0.5033968253968254,{'C': 0.009238119916812988},tox_liver_toxicity,morphology,0.5,False,0.4692424242424242,-0.05372727272727268
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5533888888888889,0.1089654492754582,25,False,20,0.4,25,0.6041948051948052,{'C': 8.706223537630773e-05},tox_pulmonary_toxicity,morphology+ecfp,0.5,False,0.4073333333333333,0.1460555555555556
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5665555555555555,0.1161389652927012,25,False,20,0.4,25,0.6520757575757575,"{'n_components': 2.0, 'keep_x': 91.0}",tox_pulmonary_toxicity,morphology+ecfp,0.5,False,0.4705,0.0960555555555555
