target,block,model,n,score_mean,permuted_score,gap_vs_permuted,se_gap,gap_lo,gap_hi,clears_zero,degenerate
tox_cardiotoxicity,morphology+expression,elastic_net,70,0.5071428571428571,0.5473809523809524,-0.0402380952380952,0.03189050854325455,-0.10274234344620893,0.022266152970018535,False,False
tox_infertility,morphology,xgboost,70,0.4531111111111111,0.4961666666666666,-0.0430555555555555,0.021165363039470694,-0.0845389048423682,-0.0015722062687428054,False,False
tox_renal_toxicity,morphology,linear_svm,70,0.4012222222222222,0.4473333333333332,-0.0461111111111109,0.036415235585068616,-0.11748366136313579,0.025261439140913992,False,False
tox_infertility,morphology+ecfp,xgboost,70,0.4523888888888889,0.5053333333333333,-0.0529444444444444,0.022021482216516335,-0.09610575648513439,-0.009783132403754412,False,False
tox_liver_toxicity,morphology,linear_svm,70,0.4155151515151515,0.4692424242424242,-0.0537272727272726,0.030830027222050842,-0.11415301573906185,0.006698470284516644,False,False
tox_renal_toxicity,morphology,sparse_plsda,70,0.4005555555555555,0.4608333333333332,-0.0602777777777777,0.039113478463706906,-0.13693878689471636,0.016383231339160968,False,False
tox_cardiotoxicity,morphology+ecfp,xgboost,70,0.4272619047619047,0.4884523809523809,-0.0611904761904762,0.03166639813706409,-0.12325547607379289,0.0008745236928405023,False,False
tox_pulmonary_toxicity,morphology+expression,xgboost,70,0.4117777777777778,0.4744444444444445,-0.0626666666666667,0.032001651191967344,-0.12538875046345502,5.541713012160998e-05,False,False
tox_pulmonary_toxicity,expression,xgboost,70,0.4325,0.4953333333333333,-0.0628333333333333,0.03221071442015513,-0.1259651735279575,0.00029850686129090365,False,False
tox_cardiotoxicity,morphology,sparse_plsda,70,0.4236904761904762,0.503452380952381,-0.0797619047619048,0.03375774035704412,-0.1459258600766923,-0.013597949447117286,False,False
