pair,variant,n,p_a,p_b,rv_adj,rv_adj_p,mantel_r,mantel_p,protest_r,protest_p,rv_plain,rv2,rv_emp_adj,permutations
expression~ecfp,ctl_random,119,41780,1024,0.001012773590784462,0.4036,-0.06538076534015802,0.9674,0.8413841221534646,0.6206,0.2753378347034371,0.011390986848753943,0.0010598014601004707,9999
expression~ecfp,ctl_random,119,41780,1024,-0.009519183247622095,0.9755,-0.022174803403404695,0.7327,0.8389842576670804,0.9826,0.26711136887736175,-0.014685973841484882,-0.009525254083323718,9999
expression~ecfp,ctl_random,119,41780,1024,0.0010021102225687044,0.4156,0.020071915295955506,0.2972,0.8411523454648963,0.5367,0.2748561560123258,0.009450898677871501,0.0009607168295082725,9999
expression~ecfp,ctl_random,119,41780,1024,-0.0019885522298270825,0.6443,0.04510649509432709,0.1073,0.8410507073858285,0.7304,0.2732053220756145,0.001478766135673325,-0.0019393545727244784,9999
expression~ecfp,ctl_random,119,41780,1024,0.003533531066284535,0.2371,-0.017817395929882733,0.6767,0.8420724367536022,0.2613,0.27676217169879924,0.01646135797650003,0.0035909292533149923,9999
expression~ecfp,ctl_random,119,41780,1024,0.002415649246655532,0.3161,-0.028473595027422575,0.7833,0.841904920215859,0.2715,0.2757887824072876,0.013427540677362217,0.002438150382985728,9999
expression~ecfp,ctl_random,119,41780,1024,0.0005200568482819399,0.45,-0.01923242880950788,0.7053,0.8416012912010341,0.3971,0.2745321637694182,0.009352740576971037,0.0005581433432908474,9999
expression~ecfp,ctl_random,119,41780,1024,-0.007525674609566465,0.9323,0.01643276983911304,0.3429,0.8393891320039173,0.9532,0.2684868767741665,-0.01160721801751556,-0.007502327882533216,9999
expression~ecfp,ctl_random,119,41780,1024,-0.001353568984465383,0.5975,0.002105833045341492,0.4781,0.8414838803159005,0.5572,0.27355508168349457,0.004113875250696753,-0.0013041224753850124,9999
expression~ecfp,ctl_random,119,41780,1024,-0.005710572855379783,0.8737,0.008340917503631582,0.4123,0.8401741049644471,0.8679,0.2701241929722221,-0.006100359884915301,-0.005744074532523923,9999
expression~ecfp,ctl_random,119,41780,1024,-0.006071062006709222,0.892,0.020109503127381988,0.3021,0.8402883497303095,0.8796,0.2700107735340477,-0.008241006301034238,-0.0061011208966122174,9999
expression~ecfp,ctl_random,119,41780,1024,0.0077734560736963014,0.0646,0.03226930850812268,0.1939,0.8431152712576315,0.0676,0.2799953020815739,0.024852560029718977,0.007795833114231241,9999
expression~ecfp,ctl_random,119,41780,1024,0.0052501100044788605,0.1464,0.005220121058478955,0.4485,0.8427474100908833,0.1786,0.2785313108777056,0.01963363784700104,0.005271610987236023,9999
expression~ecfp,ctl_random,119,41780,1024,0.00919749771222651,0.0332,0.06343772741855622,0.0468,0.8428805077192095,0.0627,0.2808522637770203,0.026838297478273935,0.009310692672678993,9999
