target,block,model,score_mean_base,score_mean_tuned,d_score,permuted_score_base,permuted_score_tuned,d_permuted,gap_vs_permuted_base,gap_vs_permuted_tuned,d_gap,verdict
tox_cardiotoxicity,morphology+expression,sparse_plsda,0.5052380952380953,0.5545238095238095,0.049285714285714266,0.4588095238095239,0.4882142857142857,0.029404761904761822,0.0464285714285713,0.0663095238095238,0.019880952380952506,unchanged
tox_infertility,morphology+ecfp,linear_svm,0.5614444444444444,0.5505,-0.010944444444444423,0.4512222222222222,0.4212222222222222,-0.02999999999999997,0.1102222222222222,0.1292777777777777,0.01905555555555552,unchanged
tox_renal_toxicity,morphology+expression,xgboost,0.5218888888888888,0.5339444444444443,0.012055555555555486,0.5058888888888889,0.4992222222222222,-0.006666666666666765,0.0159999999999999,0.0347222222222221,0.0187222222222222,unchanged
tox_cardiotoxicity,expression,sparse_plsda,0.4995238095238095,0.5426190476190477,0.043095238095238186,0.4616666666666667,0.4871428571428571,0.025476190476190375,0.0378571428571427,0.0554761904761905,0.017619047619047798,unchanged
tox_infertility,ecfp,linear_svm,0.5948333333333333,0.6021666666666667,0.007333333333333414,0.4187777777777777,0.4093333333333333,-0.009444444444444366,0.1760555555555556,0.1928333333333334,0.016777777777777808,unchanged
tox_liver_toxicity,expression,xgboost,0.5,0.5165151515151515,0.016515151515151483,0.5,0.5,0.0,0.0,0.0165151515151514,0.0165151515151514,unchanged
moa-fine,morphology+ecfp,linear_svm,0.77,0.774,0.0040000000000000036,0.476,0.4646666666666666,-0.011333333333333362,0.294,0.3093333333333334,0.015333333333333421,unchanged
tox_pulmonary_toxicity,morphology+ecfp,sparse_plsda,0.5742222222222222,0.5665555555555555,-0.0076666666666667105,0.4931666666666667,0.4705,-0.022666666666666724,0.0810555555555554,0.0960555555555555,0.01500000000000011,unchanged
tox_renal_toxicity,morphology+ecfp,elastic_net,0.6324444444444445,0.6241666666666666,-0.008277777777777828,0.5702222222222222,0.5471111111111111,-0.023111111111111082,0.0622222222222222,0.0770555555555555,0.014833333333333303,unchanged
tox_liver_toxicity,ecfp,linear_svm,0.7081818181818181,0.7045454545454546,-0.0036363636363635488,0.4790303030303031,0.4608181818181818,-0.01821212121212129,0.229151515151515,0.2437272727272728,0.014575757575757797,unchanged
tox_liver_toxicity,morphology,linear_svm,0.4076666666666665,0.4155151515151515,0.007848484848484993,0.4758787878787879,0.4692424242424242,-0.006636363636363718,-0.0682121212121213,-0.0537272727272726,0.01448484848484869,unchanged
tox_cardiotoxicity,morphology,sparse_plsda,0.4257142857142857,0.4236904761904762,-0.002023809523809539,0.5191666666666667,0.503452380952381,-0.01571428571428568,-0.0934523809523809,-0.0797619047619048,0.0136904761904761,unchanged
tox_liver_toxicity,morphology+expression,xgboost,0.5,0.5116666666666666,0.011666666666666603,0.5,0.4981818181818182,-0.0018181818181817744,0.0,0.0134848484848483,0.0134848484848483,unchanged
tox_pulmonary_toxicity,morphology,elastic_net,0.4785,0.4761111111111111,-0.002388888888888885,0.4848888888888888,0.4692222222222222,-0.015666666666666607,-0.0063888888888888,0.0068888888888888,0.0132777777777776,unchanged
tox_cardiotoxicity,morphology,elastic_net,0.4622619047619048,0.4827380952380952,0.02047619047619037,0.5020238095238094,0.5095238095238094,0.007499999999999951,-0.0397619047619046,-0.0267857142857141,0.012976190476190502,unchanged
