gene,highly_variable
TOP2B,False
TM9SF3,False
NFKB2,True
UBE2T,False
PPP1R12B,False
DNAJC10,True
GTF3C1,False
IL4R,False
USP33,False
PAK3,False
CAPN6,False
DCX,False
SNRPA,False
SPAG6,True
EXOSC5,False
DYNC1I2,False
APBB1IP,False
LRCH4,False
FAM76B,False
SIRT6,False
TYR,False
POLD3,False
ACTN2,False
CAPZB,False
GPR137B,False
NAALAD2,False
JADE1,False
SLC25A43,False
UBE2A,False
FGFR1,True
FKBP6,False
SMC1B,False
FBLN1,False
ITGA8,False
CST7,False
MAP2,True
PIAS2,False
AMPH,True
ARAF,False
MCCC1,False
LAMP3,True
FAP,True
NEBL,True
ACER3,False
UBE2K,False
PIK3C3,False
N4BP2,False
TIGAR,False
TULP3,False
SYNJ2,False
ADCY2,False
PPP2R5C,False
PMS2P1,False
RBFOX1,False
GNB1,False
HOXA9,False
EDN1,True
MLLT10,False
ZCWPW1,False
ADCYAP1R1,True
FGF20,False
P2RY10,False
ITM2A,False
NRDC,False
VDAC3,False
PCM1,False
TNRC6C,False
CBFA2T2,False
BRINP1,False
ITCH,False
PKD2L2,True
TP53INP2,False
SDF4,False
MYH7B,True
BPIFB2,False
TP73,False
TOLLIP,False
UBE2D4,False
CLUL1,False
RUNX1T1,False
CDH17,False
THOC1,False
FKBP7,False
OSBPL6,True
SLC1A3,False
XRCC5,False
LXN,False
SP140,False
MKNK1,False
TNS1,False
REXO1,False
SAR1A,False
CDC14A,False
RAPGEF3,False
CEACAM1,False
SENP1,False
DUSP13,False
CIC,False
LIPE,False
FDFT1,False
PAFAH1B3,False
OPHN1,False
AFM,False
KIF22,True
SCGN,True
CARMIL1,False
PGM1,False
DDX1,False
DNM2,False
EPB41L2,False
RIMS1,False
MOXD1,False
STX7,False
RABL2B,False
KEAP1,False
DDX43,False
PTPRH,False
DCT,True
SLC35C2,False
CRYBG3,False
EPHA6,False
SCTR,True
RFX3,True
RIF1,False
RAB21,False
SLC4A4,False
SMARCA2,False
RDH8,False
SESN1,False
MID2,False
DNAAF6,False
COL5A3,False
SRCAP,False
PUM3,True
CPB2,True
CHRNA3,False
KCNN2,False
CNOT4,False
PSEN1,False
CPOX,False
CLDND1,False
MOK,True
HSP90AA1,True
RBL1,False
DLGAP4,False
IGSF9B,False
CFHR2,False
CROCCP3,False
NDC80,True
AP4E1,False
RSBN1,False
MAGI3,False
CXCL2,True
AFP,True
COL4A4,False
TCF7,False
OSTM1,False
CDH7,False
IMPG2,True
PCNP,False
EXD2,False
ARG2,True
MEF2C,False
PTPRC,False
CACNA1S,False
PKP1,False
UBA5,False
STK17B,False
CDC14B,False
ZNF510,False
LRP2,False
ZNF506,False
JMJD4,False
DUSP12,False
AACS,False
DELE1,False
SLC13A1,False
CADPS2,True
PCDHB4,False
PCDHA6,False
PCDHGA2,True
HSPB11,False
PHLPP1,False
ATP8B1,False
IL12RB2,True
SMARCD3,False
WDR70,False
FYB1,False
MPP4,True
STRADB,False
BZW1,False
PGR,False
C1QTNF3,False
ME2,False
C5orf22,False
CCNT2,False
FAM135A,False
COL19A1,False
EPB41L3,False
COBLL1,False
DLG3,False
KCNK2,False
SERTAD4,True
TRAF5,False
MRPL22,False
GEMIN5,False
OPRK1,False
NFE2L1,False
SEMA5B,False
GSK3B,False
ITGB5,False
ERC1,False
XPO1,False
LINC01587,True
RNF13,False
TRPM3,False
PALB2,False
DOP1A,False
LYRM2,False
BCKDHB,False
KAT6A,False
TUT7,False
ULK2,False
GRHL2,True
TNPO1,False
PLOD1,True
P2RX5,False
ITGAE,False
DIS3,False
PIBF1,False
TDRD3,False
NUFIP1,False
PDS5B,False
OXCT1,False
RRAGB,False
EPYC,True
CYLD,True
SLC27A5,False
ZNF324,False
ZNF671,False
ZNF416,False
ZNF586,False
ZNF446,False
ZNF264,False
RPS5,True
FAT1,False
YTHDC1,False
CHMP2B,False
SMAP2,False
PPIE,False
ZMPSTE24,False
STARD7,False
NOA1,False
REST,False
HAL,False
SSH1,False
GSTP1,False
APLP2,False
FAM234B,False
SLCO1A2,False
WBP11,False
EIF3I,False
NKAIN1,True
COL16A1,False
TXLNA,False
APOB,True
NCOA1,False
AGBL5,False
EFR3B,False
KIF3C,False
RAB10,False
GCKR,True
HADHA,False
MAPRE3,True
CAD,False
CD59,False
CD82,False
BCORL1,False
ATRX,False
AK6,False
FCN1,True
MYNN,False
MECOM,False
SCAMP1,False
PREP,False
HACE1,False
SEH1L,False
WDR47,True
WDFY1,False
OVGP1,True
SLC25A24,False
MAP3K4,False
PILRA,True
IGSF9,False
ABCB1,True
ZNF213,False
AKR1B1,False
CPNE3,False
RRN3,False
CTTN,False
WNT11,True
MTIF2,False
DDHD2,False
TTC39A,False
EPS15,False
ORC1,False
MGST2,False
CHERP,False
ATG16L1,False
USP40,False
POMGNT1,False
RAD54L,False
MAST2,False
DNAJA1,True
B4GALT1,False
CHMP5,False
NFX1,False
AQP6,False
DIMT1,False
IPO11,False
FOLH1,False
EIF2AK1,False
NME8,False
EPDR1,False
SNX10,False
SEPHS1,False
MRPL28,False
HBQ1,False
ITPKC,False
CEACAM6,True
FAT2,False
RBM22,False
TMED2,True
ERO1B,True
ZFAND6,False
HSD17B2,True
TXLNG,False
PPEF1,False
LAT2,False
HUWE1,False
ZW10,False
ALG9,False
MYBPC2,False
NOX4,False
ACOX3,True
MTMR2,False
PPP1R15A,True
HSD17B14,True
TRIP6,False
ACHE,True
FTL,True
SRRT,False
BAX,False
