model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate,permuted_score,gap_vs_permuted
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5742222222222222,0.1130968938892992,25,False,0,0.1,tox_pulmonary_toxicity,morphology+ecfp,0.5,False,0.4931666666666667,0.08105555555555549
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5603888888888888,0.084687260545878,25,False,0,4.8,tox_pulmonary_toxicity,ecfp,0.5,False,0.5008888888888889,0.059499999999999886
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5801666666666666,0.1021939272434135,25,False,0,0.1,tox_pulmonary_toxicity,ecfp,0.5,False,0.5260555555555555,0.05411111111111111
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5162222222222222,0.127083694595722,25,False,0,0.3,tox_pulmonary_toxicity,morphology,0.5,False,0.5016666666666666,0.014555555555555655
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4877222222222221,0.1253345399863112,25,False,0,0.2,tox_pulmonary_toxicity,morphology,0.5,False,0.4790555555555555,0.0086666666666666
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4836666666666667,0.132813384347092,25,False,0,5.4,tox_pulmonary_toxicity,morphology+expression,0.5,False,0.4876666666666666,-0.0039999999999998925
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4785,0.1199537719598988,25,False,0,4.5,tox_pulmonary_toxicity,morphology,0.5,False,0.4848888888888888,-0.006388888888888833
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4788888888888889,0.1357921432662416,25,False,0,57.3,tox_pulmonary_toxicity,expression,0.5,False,0.4868888888888889,-0.008000000000000007
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4823888888888888,0.1060228836235454,25,False,0,3.9,tox_pulmonary_toxicity,expression,0.5,False,0.4909999999999999,-0.00861111111111107
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4253333333333333,0.1119815075121394,25,False,0,58.0,tox_pulmonary_toxicity,morphology+expression,0.5,False,0.4617777777777777,-0.03644444444444439
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4623333333333332,0.116404679384963,25,False,0,309.6,tox_pulmonary_toxicity,morphology+expression,0.5,False,0.544111111111111,-0.08177777777777778
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4590555555555556,0.1022864532502643,25,False,0,299.3,tox_pulmonary_toxicity,expression,0.5,False,0.5597222222222222,-0.10066666666666663
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4485,0.1430185604807128,25,False,0,4.4,tox_pulmonary_toxicity,morphology+expression,0.5,False,0.6128333333333333,-0.16433333333333333
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4448888888888889,0.147584313629971,25,False,0,3.4,tox_pulmonary_toxicity,expression,0.5,False,0.6223888888888889,-0.1775
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.65,0.1035667912359632,25,False,0,302.9,tox_renal_toxicity,morphology+expression,0.5,False,0.4873888888888888,0.1626111111111112
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6271111111111112,0.1031301167828987,25,False,0,289.9,tox_renal_toxicity,expression,0.5,False,0.4750555555555555,0.15205555555555567
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.623,0.0984369197023851,25,False,0,5.3,tox_renal_toxicity,morphology+expression,0.5,False,0.5002777777777777,0.12272222222222229
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6202222222222222,0.0981763341778078,25,False,0,3.8,tox_renal_toxicity,expression,0.5,False,0.5013888888888889,0.11883333333333335
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6367222222222223,0.0958217223239897,25,False,0,0.1,tox_renal_toxicity,morphology+ecfp,0.5,False,0.5294444444444444,0.10727777777777792
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6449444444444445,0.1180852119613231,25,False,0,4.7,tox_renal_toxicity,ecfp,0.5,False,0.5557222222222222,0.08922222222222231
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.586111111111111,0.1108657012051234,25,False,0,0.2,tox_renal_toxicity,ecfp,0.5,False,0.4977777777777777,0.08833333333333332
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6393888888888888,0.1061582792198214,25,False,0,0.1,tox_renal_toxicity,ecfp,0.5,False,0.5528333333333333,0.0865555555555555
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6324444444444445,0.1191403622872027,25,False,0,8.5,tox_renal_toxicity,morphology+ecfp,0.5,False,0.5702222222222222,0.06222222222222229
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4941666666666667,0.0829044519199551,25,False,0,0.4,tox_renal_toxicity,morphology+ecfp,0.5,False,0.4375555555555556,0.05661111111111111
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5297222222222223,0.0890129342800011,25,False,0,59.2,tox_renal_toxicity,expression,0.5,False,0.5066666666666666,0.023055555555555718
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4659999999999999,0.1228205807742676,25,False,0,0.1,tox_renal_toxicity,morphology,0.5,False,0.4473888888888889,0.018611111111111023
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5218888888888888,0.084010471128659,25,False,0,65.5,tox_renal_toxicity,morphology+expression,0.5,False,0.5058888888888889,0.015999999999999903
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6100555555555556,0.1230322149923585,25,False,0,0.1,tox_renal_toxicity,ecfp,0.5,False,0.5943333333333334,0.015722222222222193
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4644444444444444,0.0730011415435859,25,False,0,4.3,tox_renal_toxicity,morphology,0.5,False,0.4623888888888889,0.002055555555555477
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4384444444444444,0.0657503227237068,25,False,0,0.3,tox_renal_toxicity,morphology,0.5,False,0.4376666666666666,0.0007777777777778216
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5443888888888889,0.0975347991079954,25,False,0,0.1,tox_renal_toxicity,morphology+ecfp,0.5,False,0.5530555555555555,-0.0086666666666666
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.514611111111111,0.1101648035926959,25,False,0,3.6,tox_renal_toxicity,expression,0.5,False,0.5390555555555555,-0.02444444444444449
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5129444444444444,0.1119349458335752,25,False,0,5.8,tox_renal_toxicity,morphology+expression,0.5,False,0.5442222222222222,-0.03127777777777774
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.3937777777777778,0.1370985272453337,25,False,0,0.1,tox_renal_toxicity,morphology,0.5,False,0.4600555555555555,-0.06627777777777771
